,x,y,color,label,word
0,0.020746335,0.7354622,[0. 0. 0. 1.],american,carolina
1,-1.9598815,-0.9656025,[0. 0. 0. 1.],american,classic
2,0.03912382,0.3728029,[0. 0. 0. 1.],american,beach
3,-0.7892683,0.21913086,[0. 0. 0. 1.],american,kitchen
4,-1.3756258,-1.918321,[0. 0. 0. 1.],american,canadian
5,-1.5626413,-2.424305,[0. 0. 0. 1.],american,grandma
6,-0.90770006,-0.59473383,[0. 0. 0. 1.],american,dill pickle
7,-0.7941263,-1.8734126,[0. 0. 0. 1.],american,bologna
8,-2.000843,-1.4213504,[0. 0. 0. 1.],american,cheeseburger
9,-1.2888594,1.5872319,[0. 0. 0. 1.],american,texas
10,-0.49128258,-0.9547641,[0. 0. 0. 1.],american,man
11,-1.1853191,-1.3768744,[0. 0. 0. 1.],american,polish
12,-1.3380946,-2.9348087,[0. 0. 0. 1.],american,amish
13,-0.77267426,-0.9459348,[0. 0. 0. 1.],american,cheeseburgers
14,-0.9453465,-1.132909,[0. 0. 0. 1.],american,deli
15,-0.768448,-0.1806328,[0. 0. 0. 1.],american,picnic
16,-0.909129,-1.2464105,[0. 0. 0. 1.],american,nana
17,-1.0979321,-0.96255827,[0. 0. 0. 1.],american,hamburger
18,-1.5027372,-1.7921181,[0. 0. 0. 1.],american,mom
19,-1.4281912,-1.2617835,[0. 0. 0. 1.],american,moms
20,2.5827682,5.4548907,[0. 0. 0. 1.],american,african
21,-0.48901078,-1.4723783,[0. 0. 0. 1.],american,pickle relish
22,-1.1618643,-1.0700116,[0. 0. 0. 1.],american,deluxe
23,-1.3633895,-1.4057958,[0. 0. 0. 1.],american,hot dogs
24,-1.3908885,-0.42346054,[0. 0. 0. 1.],american,potatoes cooked
25,-0.7703338,-1.2689948,[0. 0. 0. 1.],american,dad
26,-1.5962514,-1.427703,[0. 0. 0. 1.],american,england
27,-1.8159604,-1.9697331,[0. 0. 0. 1.],american,aunt
28,-1.1698697,-0.033778165,[0. 0. 0. 1.],american,tomato soup
29,-1.1974639,-1.2474377,[0. 0. 0. 1.],american,sweet pickle relish
30,-0.15873548,3.932067,[0.48367647 0.         0.55030196 1.        ],mexican,southwest
31,-0.9084893,3.1305695,[0.48367647 0.         0.55030196 1.        ],mexican,fiesta
32,-0.42040753,4.796706,[0.48367647 0.         0.55030196 1.        ],mexican,southwestern
33,-0.599086,3.3321762,[0.48367647 0.         0.55030196 1.        ],mexican,taco
34,-1.484038,2.3514585,[0.48367647 0.         0.55030196 1.        ],mexican,nacho
35,-1.1420648,4.818185,[0.48367647 0.         0.55030196 1.        ],mexican,enchilada
36,-0.6045323,2.7266996,[0.48367647 0.         0.55030196 1.        ],mexican,crushed tortilla chips
37,-0.413154,4.461465,[0.48367647 0.         0.55030196 1.        ],mexican,tortilla
38,-0.24064252,2.8675582,[0.48367647 0.         0.55030196 1.        ],mexican,huevos
