,x,y,color,label,word
0,0.6437181,0.84608674,[0. 0. 0. 1.],american,carolina
1,-1.7577193,-0.43368003,[0. 0. 0. 1.],american,classic
2,0.30045992,0.5092503,[0. 0. 0. 1.],american,beach
3,-0.5788928,0.9715844,[0. 0. 0. 1.],american,kitchen
4,-1.3839755,-1.3844454,[0. 0. 0. 1.],american,canadian
5,0.5118707,6.2058043,[0.48367647 0.         0.55030196 1.        ],mexican,southwest
6,-0.53138274,5.176888,[0.48367647 0.         0.55030196 1.        ],mexican,fiesta
7,0.33190253,7.089214,[0.48367647 0.         0.55030196 1.        ],mexican,southwestern
8,-0.26860332,5.5545745,[0.48367647 0.         0.55030196 1.        ],mexican,taco
9,-1.0298997,4.2300057,[0.48367647 0.         0.55030196 1.        ],mexican,nacho
10,-0.75743437,2.507248,[0.26142157 0.         0.63400392 1.        ],italian,italiano
11,-2.834747,3.2967122,[0.26142157 0.         0.63400392 1.        ],italian,italian sausage
12,-1.041424,3.3093338,[0.26142157 0.         0.63400392 1.        ],italian,sicilian
13,-0.87280244,3.646879,[0.26142157 0.         0.63400392 1.        ],italian,tuscan
14,-1.9500315,1.7498124,[0.26142157 0.         0.63400392 1.        ],italian,bulk italian sausage
15,-1.4621636,-1.5781924,[0.         0.         0.81964118 1.        ],polish,ukrainian
16,-1.3470589,-1.4817438,[0.         0.         0.81964118 1.        ],polish,sauerkraut
17,-1.940872,-1.2047725,[0.         0.         0.81964118 1.        ],polish,sauerkraut drained
18,-0.6650682,0.35555416,[0.         0.         0.81964118 1.        ],polish,hungarian
19,-1.5969648,-1.4973954,[0.         0.         0.81964118 1.        ],polish,bavarian
20,-1.1141341,-1.3779466,[0.         0.46931373 0.8667     1.        ],german,polish
21,-1.5969648,-1.4973954,[0.         0.46931373 0.8667     1.        ],german,bavarian
22,-1.4621636,-1.5781924,[0.         0.46931373 0.8667     1.        ],german,ukrainian
23,-1.3973149,-2.269857,[0.         0.46931373 0.8667     1.        ],german,swedish
24,-0.6650682,0.35555416,[0.         0.46931373 0.8667     1.        ],german,hungarian
25,2.104014,11.767814,[0.         0.62354118 0.79611176 1.        ],spanish,paella
26,-0.6127819,7.680335,[0.         0.62354118 0.79611176 1.        ],spanish,chorizo sausage
27,-0.14936453,3.9444053,[0.         0.62354118 0.79611176 1.        ],spanish,portuguese
28,1.0921667,8.157835,[0.         0.62354118 0.79611176 1.        ],spanish,arroz
29,0.1066926,8.254049,[0.         0.62354118 0.79611176 1.        ],spanish,pollo
