,x,y,color,label,word
0,0.21331818,0.59651184,[0. 0. 0. 1.],american,carolina
1,-1.9245263,-0.9471241,[0. 0. 0. 1.],american,classic
2,0.051245898,0.22533274,[0. 0. 0. 1.],american,beach
3,-0.7489037,0.12582706,[0. 0. 0. 1.],american,kitchen
4,-1.3647316,-1.8795675,[0. 0. 0. 1.],american,canadian
5,-1.477668,-2.3633127,[0. 0. 0. 1.],american,grandma
6,-0.9036381,-0.9202956,[0. 0. 0. 1.],american,dill pickle
7,-0.80130374,-2.0329328,[0. 0. 0. 1.],american,bologna
8,-2.003552,-1.8694026,[0. 0. 0. 1.],american,cheeseburger
9,-1.0890443,1.3608592,[0. 0. 0. 1.],american,texas
10,-0.43615633,-0.96851516,[0. 0. 0. 1.],american,man
11,-1.0951397,-1.4089177,[0. 0. 0. 1.],american,polish
12,-1.2807035,-2.84702,[0. 0. 0. 1.],american,amish
13,-0.7901791,-1.2430567,[0. 0. 0. 1.],american,cheeseburgers
14,-0.9673567,-1.4948368,[0. 0. 0. 1.],american,deli
15,-0.77973557,-0.31758162,[0. 0. 0. 1.],american,picnic
16,-0.84286684,-1.1380832,[0. 0. 0. 1.],american,nana
17,-1.0100125,-1.4554713,[0. 0. 0. 1.],american,hamburger
18,-1.3998855,-1.8238572,[0. 0. 0. 1.],american,mom
19,-1.3710357,-1.2977744,[0. 0. 0. 1.],american,moms
20,2.8999934,5.7357287,[0. 0. 0. 1.],american,african
21,-0.5215825,-1.6854286,[0. 0. 0. 1.],american,pickle relish
22,-1.142408,-1.1219054,[0. 0. 0. 1.],american,deluxe
23,-1.3310107,-1.5379572,[0. 0. 0. 1.],american,hot dogs
24,-1.3626659,-0.5328581,[0. 0. 0. 1.],american,potatoes cooked
25,-0.11224431,3.4401283,[0.48367647 0.         0.55030196 1.        ],mexican,southwest
26,-0.8868537,2.6576943,[0.48367647 0.         0.55030196 1.        ],mexican,fiesta
27,-0.3624722,4.2340655,[0.48367647 0.         0.55030196 1.        ],mexican,southwestern
28,-0.55974203,2.6623626,[0.48367647 0.         0.55030196 1.        ],mexican,taco
29,-1.4466261,1.9288102,[0.48367647 0.         0.55030196 1.        ],mexican,nacho
30,-0.97963524,4.386236,[0.48367647 0.         0.55030196 1.        ],mexican,enchilada
31,-0.5596827,2.264901,[0.48367647 0.         0.55030196 1.        ],mexican,crushed tortilla chips
32,-0.3730031,4.0520053,[0.48367647 0.         0.55030196 1.        ],mexican,tortilla
33,-0.19862422,2.7473679,[0.48367647 0.         0.55030196 1.        ],mexican,huevos
34,1.204562,3.0629284,[0.48367647 0.         0.55030196 1.        ],mexican,fajita
35,-0.45737106,3.5822818,[0.48367647 0.         0.55030196 1.        ],mexican,pinto beans drained rinsed
36,-2.642507,3.5111754,[0.48367647 0.         0.55030196 1.        ],mexican,tamale
37,-1.4604462,2.7293038,[0.48367647 0.         0.55030196 1.        ],mexican,refried beans
38,-0.4072224,2.1168756,[0.48367647 0.         0.55030196 1.        ],mexican,chunky salsa
39,0.12555826,1.466237,[0.48367647 0.         0.55030196 1.        ],mexican,burrito
40,-2.351694,2.6342514,[0.48367647 0.         0.55030196 1.        ],mexican,green chilies drained
41,-2.1629188,2.457416,[0.48367647 0.         0.55030196 1.        ],mexican,canchopped green chilies
42,-1.186368,3.428149,[0.48367647 0.         0.55030196 1.        ],mexican,enchilada sauce
43,-0.4054258,2.967082,[0.48367647 0.         0.55030196 1.        ],mexican,tomatoes with green chilies
44,-1.0679096,1.3759824,[0.48367647 0.         0.55030196 1.        ],mexican,taco sauce
45,-1.4045,3.6975722,[0.48367647 0.         0.55030196 1.        ],mexican,tortilla chips
46,0.24442223,2.9293277,[0.48367647 0.         0.55030196 1.        ],mexican,green enchilada sauce
47,-0.9648324,1.401803,[0.48367647 0.         0.55030196 1.        ],mexican,corn chips
48,-0.81219923,1.8523195,[0.48367647 0.         0.55030196 1.        ],mexican,picante sauce
49,-1.2117084,1.1774971,[0.48367647 0.         0.55030196 1.        ],mexican,envelope taco seasoning
50,-1.0821458,1.31064,[0.26142157 0.         0.63400392 1.        ],italian,italiano
51,-3.0017939,1.8834463,[0.26142157 0.         0.63400392 1.        ],italian,italian sausage
52,-1.5560522,2.970993,[0.26142157 0.         0.63400392 1.        ],italian,sicilian
53,-1.3380265,2.4697373,[0.26142157 0.         0.63400392 1.        ],italian,tuscan
54,-2.051213,0.7149136,[0.26142157 0.         0.63400392 1.        ],italian,bulk italian sausage
55,-2.1849754,2.065807,[0.26142157 0.         0.63400392 1.        ],italian,sweet italian sausage
56,-2.8341537,1.2374508,[0.26142157 0.         0.63400392 1.        ],italian,romano cheese
57,-1.9592245,1.0263712,[0.26142157 0.         0.63400392 1.        ],italian,italian seasoning
58,-1.3316779,3.0505466,[0.26142157 0.         0.63400392 1.        ],italian,marinara
59,-1.267121,4.269191,[0.26142157 0.         0.63400392 1.        ],italian,cacciatore
60,-2.3836055,0.3418012,[0.26142157 0.         0.63400392 1.        ],italian,pepperoni
61,-0.9205997,1.9371322,[0.26142157 0.         0.63400392 1.        ],italian,italian style tomatoes
