,x,y,color,label,word
0,0.32324022,0.23858485,[0. 0. 0. 1.],american,carolina
1,-1.9790171,-0.92742676,[0. 0. 0. 1.],american,classic
2,0.119924545,0.13489375,[0. 0. 0. 1.],american,beach
3,-0.8217887,0.447798,[0. 0. 0. 1.],american,kitchen
4,-1.3964071,-1.9469645,[0. 0. 0. 1.],american,canadian
5,-1.5090415,-2.6127222,[0. 0. 0. 1.],american,grandma
6,-1.0464156,-0.71657073,[0. 0. 0. 1.],american,dill pickle
7,-0.89061785,-1.7729764,[0. 0. 0. 1.],american,bologna
8,-2.194718,-1.1963952,[0. 0. 0. 1.],american,cheeseburger
9,-0.91740566,1.8642573,[0. 0. 0. 1.],american,texas
10,-0.42361218,-0.8349011,[0. 0. 0. 1.],american,man
11,-1.2180912,-2.1710663,[0. 0. 0. 1.],american,polish
12,-1.3557123,-3.1161876,[0. 0. 0. 1.],american,amish
13,-0.87783253,-0.6807281,[0. 0. 0. 1.],american,cheeseburgers
14,-1.0532769,-1.4617596,[0. 0. 0. 1.],american,deli
15,0.026745379,4.648268,[0.48367647 0.         0.55030196 1.        ],mexican,southwest
16,-0.8644243,3.860632,[0.48367647 0.         0.55030196 1.        ],mexican,fiesta
17,-0.22695291,5.3667135,[0.48367647 0.         0.55030196 1.        ],mexican,southwestern
18,-0.64568055,4.049422,[0.48367647 0.         0.55030196 1.        ],mexican,taco
19,-1.4576254,3.1533482,[0.48367647 0.         0.55030196 1.        ],mexican,nacho
20,-1.0016146,5.585388,[0.48367647 0.         0.55030196 1.        ],mexican,enchilada
21,-0.57063127,3.4635553,[0.48367647 0.         0.55030196 1.        ],mexican,crushed tortilla chips
22,-0.42095897,5.640792,[0.48367647 0.         0.55030196 1.        ],mexican,tortilla
23,-0.20103896,3.644322,[0.48367647 0.         0.55030196 1.        ],mexican,huevos
24,1.2029637,4.0212016,[0.48367647 0.         0.55030196 1.        ],mexican,fajita
25,-0.45746794,4.3340592,[0.48367647 0.         0.55030196 1.        ],mexican,pinto beans drained rinsed
26,-2.5702078,4.554821,[0.48367647 0.         0.55030196 1.        ],mexican,tamale
27,-1.5270033,4.0773664,[0.48367647 0.         0.55030196 1.        ],mexican,refried beans
28,-0.41631454,3.126245,[0.48367647 0.         0.55030196 1.        ],mexican,chunky salsa
29,0.015377805,2.6473145,[0.48367647 0.         0.55030196 1.        ],mexican,burrito
30,-1.0641202,1.5041468,[0.26142157 0.         0.63400392 1.        ],italian,italiano
31,-3.0914166,2.0163279,[0.26142157 0.         0.63400392 1.        ],italian,italian sausage
32,-1.3766057,2.3765416,[0.26142157 0.         0.63400392 1.        ],italian,sicilian
33,-1.2097518,2.2653034,[0.26142157 0.         0.63400392 1.        ],italian,tuscan
34,-2.1494443,0.7331964,[0.26142157 0.         0.63400392 1.        ],italian,bulk italian sausage
35,-2.2479076,1.946989,[0.26142157 0.         0.63400392 1.        ],italian,sweet italian sausage
36,-2.8302257,1.3743409,[0.26142157 0.         0.63400392 1.        ],italian,romano cheese
37,-2.0643935,1.2509261,[0.26142157 0.         0.63400392 1.        ],italian,italian seasoning
38,-1.3031626,2.984295,[0.26142157 0.         0.63400392 1.        ],italian,marinara
39,-1.3227531,4.18576,[0.26142157 0.         0.63400392 1.        ],italian,cacciatore
40,-2.4895449,1.1393802,[0.26142157 0.         0.63400392 1.        ],italian,pepperoni
41,-0.95213485,2.0504162,[0.26142157 0.         0.63400392 1.        ],italian,italian style tomatoes
42,-1.1890469,1.3972238,[0.26142157 0.         0.63400392 1.        ],italian,pasta sauce
43,-2.8833747,0.75291526,[0.26142157 0.         0.63400392 1.        ],italian,provolone cheese
44,-1.4823571,2.2621021,[0.26142157 0.         0.63400392 1.        ],italian,antipasto
45,-1.4287435,-2.157392,[0.         0.         0.81964118 1.        ],polish,ukrainian
46,-1.3778338,-2.4754474,[0.         0.         0.81964118 1.        ],polish,sauerkraut
47,-1.949745,-2.205672,[0.         0.         0.81964118 1.        ],polish,sauerkraut drained
48,-0.8388592,-0.6491544,[0.         0.         0.81964118 1.        ],polish,hungarian
49,-1.6618161,-2.0140188,[0.         0.         0.81964118 1.        ],polish,bavarian
50,-2.088715,-3.2376113,[0.         0.         0.81964118 1.        ],polish,german
51,-1.2294989,-1.4083048,[0.         0.         0.81964118 1.        ],polish,caraway seed
52,-1.5213106,-3.1650293,[0.         0.         0.81964118 1.        ],polish,swedish
53,-0.98797035,-2.1787724,[0.         0.         0.81964118 1.        ],polish,russian
54,-0.8346205,-1.2290305,[0.         0.         0.81964118 1.        ],polish,norwegian
55,-2.2313466,-3.0376122,[0.         0.         0.81964118 1.        ],polish,reuben
56,-1.6573734,-2.6993954,[0.         0.         0.81964118 1.        ],polish,dutch
57,-0.5455437,-2.1327448,[0.         0.         0.81964118 1.        ],polish,corned beef
58,-1.6640954,-3.1231737,[0.         0.         0.81964118 1.        ],polish,danish
59,-1.3557123,-3.1161876,[0.         0.         0.81964118 1.        ],polish,amish
60,-1.2180912,-2.1710663,[0.         0.46931373 0.8667     1.        ],german,polish
61,-1.6618161,-2.0140188,[0.         0.46931373 0.8667     1.        ],german,bavarian
62,-1.4287435,-2.157392,[0.         0.46931373 0.8667     1.        ],german,ukrainian
63,-1.5213106,-3.1650293,[0.         0.46931373 0.8667     1.        ],german,swedish
64,-0.8388592,-0.6491544,[0.         0.46931373 0.8667     1.        ],german,hungarian
65,-1.6573734,-2.6993954,[0.         0.46931373 0.8667     1.        ],german,dutch
66,-1.3778338,-2.4754474,[0.         0.46931373 0.8667     1.        ],german,sauerkraut
67,-0.8346205,-1.2290305,[0.         0.46931373 0.8667     1.        ],german,norwegian
68,-0.98797035,-2.1787724,[0.         0.46931373 0.8667     1.        ],german,russian
69,-1.949745,-2.205672,[0.         0.46931373 0.8667     1.        ],german,sauerkraut drained
70,-1.8090513,-2.8320765,[0.         0.46931373 0.8667     1.        ],german,fashioned
71,-1.6640954,-3.1231737,[0.         0.46931373 0.8667     1.        ],german,danish
72,-1.3557123,-3.1161876,[0.         0.46931373 0.8667     1.        ],german,amish
73,-1.2294989,-1.4083048,[0.         0.46931373 0.8667     1.        ],german,caraway seed
74,-2.3676925,-1.4169272,[0.         0.46931373 0.8667     1.        ],german,irish
75,1.2767324,11.441093,[0.         0.62354118 0.79611176 1.        ],spanish,paella
76,-1.0898875,6.8974686,[0.         0.62354118 0.79611176 1.        ],spanish,chorizo sausage
77,-0.64715266,3.2712553,[0.         0.62354118 0.79611176 1.        ],spanish,portuguese
78,0.5292183,8.107286,[0.         0.62354118 0.79611176 1.        ],spanish,arroz
79,-0.5115879,7.7605495,[0.         0.62354118 0.79611176 1.        ],spanish,pollo
80,-0.4644296,6.5279756,[0.         0.62354118 0.79611176 1.        ],spanish,chorizo
81,0.5664393,4.478444,[0.         0.62354118 0.79611176 1.        ],spanish,cuban
82,0.28796268,6.5543475,[0.         0.62354118 0.79611176 1.        ],spanish,saffron thread
83,-0.4828745,5.0605493,[0.         0.62354118 0.79611176 1.        ],spanish,mexican
84,-0.34268302,7.302485,[0.         0.62354118 0.79611176 1.        ],spanish,jambalaya
85,1.2718959,3.3894677,[0.         0.62354118 0.79611176 1.        ],spanish,brazilian
86,0.539365,6.9106474,[0.         0.62354118 0.79611176 1.        ],spanish,saffron
87,-0.01749134,7.3159485,[0.         0.62354118 0.79611176 1.        ],spanish,saffron threads
88,-1.4902276,4.747615,[0.         0.62354118 0.79611176 1.        ],spanish,green olives
89,-1.2679384,5.141211,[0.         0.62354118 0.79611176 1.        ],spanish,pitted green olives
90,-2.9340546,-0.8444132,[0.         0.6667     0.58561373 1.        ],french,french bread
91,-1.5812371,-1.7375848,[0.         0.6667     0.58561373 1.        ],french,brioche
92,-2.7841394,-0.767196,[0.         0.6667     0.58561373 1.        ],french,loaf french bread
93,-0.87891906,-1.6427248,[0.         0.6667     0.58561373 1.        ],french,challah
94,-1.9398904,-2.666027,[0.         0.6667     0.58561373 1.        ],french,overnight
95,-3.361912,-1.4715658,[0.         0.6667     0.58561373 1.        ],french,gruyere
96,-1.4231601,-2.6894794,[0.         0.6667     0.58561373 1.        ],french,toast
97,-1.1215277,-2.074392,[0.         0.6667     0.58561373 1.        ],french,belgian
98,-1.5707704,-1.57282,[0.         0.6667     0.58561373 1.        ],french,cognac
99,-2.1015034,-0.45982853,[0.         0.6667     0.58561373 1.        ],french,vidalia
100,-2.4265785,-0.16943994,[0.         0.6667     0.58561373 1.        ],french,rustic
